Ward,Precinct,RAHM EMANUEL,WILLIE WILSON,ROBERT W. FIORETTI,"JESUS ""CHUY"" GARCIA",WILLIAM WALLS III,Votes Cast
6.0,12.0,59.0,40.0,3.0,32.0,12.0,146.0
6.0,13.0,100.0,44.0,20.0,39.0,14.0,217.0
6.0,14.0,104.0,77.0,15.0,52.0,13.0,261.0
6.0,15.0,74.0,72.0,8.0,36.0,6.0,196.0
6.0,16.0,144.0,67.0,13.0,64.0,20.0,308.0
6.0,17.0,78.0,48.0,6.0,31.0,10.0,173.0
6.0,18.0,99.0,54.0,7.0,27.0,16.0,203.0
6.0,19.0,109.0,63.0,10.0,45.0,12.0,239.0
6.0,20.0,58.0,33.0,7.0,26.0,7.0,131.0
6.0,21.0,66.0,47.0,2.0,39.0,3.0,157.0
6.0,22.0,80.0,44.0,6.0,40.0,8.0,178.0
6.0,23.0,55.0,43.0,4.0,33.0,6.0,141.0
6.0,24.0,71.0,46.0,5.0,14.0,10.0,146.0
6.0,25.0,65.0,37.0,6.0,20.0,12.0,140.0
6.0,26.0,62.0,44.0,7.0,27.0,17.0,157.0
6.0,27.0,43.0,59.0,5.0,23.0,10.0,140.0
6.0,28.0,53.0,40.0,4.0,32.0,6.0,135.0
6.0,29.0,145.0,54.0,21.0,78.0,26.0,324.0
6.0,30.0,77.0,54.0,10.0,41.0,12.0,194.0
6.0,31.0,119.0,50.0,15.0,75.0,23.0,282.0
6.0,32.0,105.0,61.0,12.0,60.0,16.0,254.0
6.0,33.0,119.0,71.0,6.0,55.0,24.0,275.0
6.0,34.0,112.0,53.0,7.0,79.0,16.0,267.0
6.0,35.0,108.0,64.0,7.0,66.0,17.0,262.0
6.0,36.0,135.0,46.0,10.0,67.0,21.0,279.0
6.0,37.0,114.0,84.0,17.0,87.0,20.0,322.0
6.0,38.0,123.0,45.0,20.0,93.0,30.0,311.0
6.0,39.0,92.0,53.0,10.0,59.0,20.0,234.0
6.0,40.0,84.0,52.0,8.0,71.0,17.0,232.0
6.0,41.0,119.0,52.0,14.0,53.0,17.0,255.0
6.0,42.0,116.0,51.0,18.0,59.0,11.0,255.0
6.0,43.0,92.0,58.0,14.0,64.0,11.0,239.0
6.0,44.0,122.0,72.0,12.0,65.0,20.0,291.0
6.0,45.0,115.0,49.0,19.0,78.0,19.0,280.0
6.0,46.0,89.0,50.0,12.0,53.0,11.0,215.0
6.0,47.0,72.0,45.0,10.0,48.0,13.0,188.0
6.0,48.0,111.0,48.0,8.0,64.0,15.0,246.0
7.0,1.0,73.0,50.0,13.0,58.0,12.0,206.0
7.0,2.0,88.0,31.0,13.0,51.0,10.0,193.0
7.0,3.0,97.0,43.0,7.0,75.0,27.0,249.0
7.0,4.0,91.0,50.0,8.0,64.0,21.0,234.0
7.0,5.0,90.0,59.0,7.0,52.0,17.0,225.0
7.0,6.0,123.0,48.0,10.0,92.0,16.0,289.0
7.0,7.0,78.0,43.0,6.0,38.0,12.0,177.0
7.0,8.0,138.0,68.0,4.0,27.0,9.0,246.0
7.0,9.0,213.0,86.0,15.0,103.0,26.0,443.0
7.0,10.0,104.0,54.0,8.0,77.0,14.0,257.0
7.0,11.0,108.0,62.0,8.0,45.0,20.0,243.0
7.0,12.0,97.0,45.0,9.0,40.0,13.0,204.0
7.0,13.0,103.0,39.0,5.0,33.0,13.0,193.0
7.0,14.0,94.0,63.0,9.0,56.0,12.0,234.0
7.0,15.0,99.0,58.0,12.0,84.0,19.0,272.0
7.0,16.0,73.0,40.0,9.0,45.0,14.0,181.0
7.0,17.0,66.0,50.0,6.0,50.0,9.0,181.0
7.0,18.0,74.0,43.0,16.0,49.0,13.0,195.0
7.0,19.0,96.0,53.0,4.0,43.0,24.0,220.0
7.0,20.0,81.0,39.0,5.0,31.0,9.0,165.0
7.0,21.0,69.0,42.0,3.0,46.0,12.0,172.0
7.0,22.0,92.0,38.0,8.0,52.0,11.0,201.0
7.0,23.0,115.0,52.0,18.0,70.0,17.0,272.0
7.0,24.0,100.0,59.0,12.0,57.0,17.0,245.0
7.0,25.0,80.0,49.0,5.0,59.0,8.0,201.0
7.0,26.0,87.0,50.0,8.0,48.0,16.0,209.0
7.0,27.0,103.0,45.0,11.0,44.0,18.0,221.0
7.0,28.0,73.0,44.0,2.0,47.0,9.0,175.0
7.0,29.0,106.0,47.0,9.0,33.0,14.0,209.0
7.0,30.0,67.0,37.0,8.0,49.0,12.0,173.0
7.0,31.0,64.0,16.0,6.0,53.0,6.0,145.0
7.0,32.0,194.0,56.0,29.0,81.0,27.0,387.0
7.0,33.0,163.0,54.0,14.0,105.0,25.0,361.0
7.0,34.0,124.0,69.0,22.0,64.0,32.0,311.0
7.0,35.0,91.0,53.0,12.0,68.0,11.0,235.0
7.0,36.0,123.0,57.0,16.0,93.0,24.0,313.0
7.0,37.0,123.0,46.0,14.0,89.0,21.0,293.0
7.0,38.0,87.0,36.0,9.0,35.0,10.0,177.0
7.0,39.0,103.0,43.0,4.0,48.0,23.0,221.0
7.0,40.0,116.0,58.0,8.0,52.0,15.0,249.0
7.0,41.0,92.0,50.0,16.0,48.0,10.0,216.0
7.0,42.0,106.0,42.0,6.0,43.0,15.0,212.0
7.0,43.0,109.0,60.0,7.0,51.0,8.0,235.0
7.0,44.0,95.0,51.0,5.0,43.0,6.0,200.0
7.0,45.0,98.0,51.0,8.0,57.0,8.0,222.0
7.0,46.0,74.0,24.0,3.0,16.0,8.0,125.0
8.0,1.0,74.0,54.0,5.0,33.0,15.0,181.0
8.0,2.0,105.0,36.0,16.0,51.0,12.0,220.0
8.0,3.0,146.0,66.0,24.0,72.0,18.0,326.0
8.0,4.0,143.0,48.0,5.0,78.0,26.0,300.0
8.0,5.0,131.0,83.0,15.0,86.0,22.0,337.0
8.0,6.0,130.0,44.0,11.0,62.0,13.0,260.0
8.0,7.0,143.0,54.0,9.0,97.0,16.0,319.0
8.0,8.0,127.0,58.0,22.0,72.0,18.0,297.0
8.0,9.0,79.0,31.0,5.0,52.0,13.0,180.0
8.0,10.0,145.0,53.0,24.0,113.0,24.0,359.0
8.0,11.0,111.0,47.0,11.0,56.0,27.0,252.0
8.0,12.0,101.0,50.0,8.0,55.0,11.0,225.0
8.0,13.0,138.0,65.0,8.0,57.0,16.0,284.0
8.0,14.0,43.0,42.0,2.0,32.0,7.0,126.0
8.0,15.0,97.0,62.0,11.0,42.0,12.0,224.0
8.0,16.0,33.0,16.0,0.0,17.0,3.0,69.0
8.0,17.0,111.0,40.0,14.0,62.0,16.0,243.0
8.0,18.0,102.0,51.0,6.0,34.0,10.0,203.0
8.0,19.0,117.0,76.0,23.0,96.0,22.0,334.0
8.0,20.0,114.0,73.0,13.0,53.0,27.0,280.0
8.0,21.0,109.0,64.0,13.0,65.0,26.0,277.0
8.0,22.0,99.0,67.0,8.0,40.0,21.0,235.0
8.0,23.0,89.0,42.0,12.0,50.0,11.0,204.0
8.0,24.0,75.0,29.0,12.0,39.0,14.0,169.0
8.0,25.0,113.0,50.0,1.0,52.0,13.0,229.0
8.0,26.0,108.0,51.0,7.0,49.0,16.0,231.0
8.0,27.0,118.0,58.0,15.0,84.0,17.0,292.0
8.0,28.0,117.0,67.0,7.0,63.0,19.0,273.0
8.0,29.0,106.0,62.0,9.0,89.0,16.0,282.0
8.0,30.0,119.0,69.0,12.0,71.0,15.0,286.0
8.0,31.0,88.0,44.0,19.0,45.0,12.0,208.0
8.0,32.0,105.0,44.0,2.0,52.0,17.0,220.0
8.0,33.0,128.0,64.0,9.0,47.0,8.0,256.0
8.0,34.0,101.0,74.0,10.0,55.0,13.0,253.0
8.0,35.0,136.0,72.0,15.0,74.0,18.0,315.0
8.0,36.0,118.0,62.0,16.0,62.0,21.0,279.0
8.0,37.0,108.0,32.0,19.0,67.0,18.0,244.0
8.0,38.0,79.0,41.0,6.0,31.0,16.0,173.0
8.0,39.0,106.0,62.0,6.0,80.0,12.0,266.0
8.0,40.0,91.0,35.0,4.0,50.0,14.0,194.0
8.0,41.0,106.0,62.0,13.0,55.0,18.0,254.0
8.0,42.0,129.0,69.0,5.0,83.0,26.0,312.0
8.0,43.0,48.0,37.0,2.0,36.0,8.0,131.0
8.0,44.0,68.0,33.0,6.0,50.0,18.0,175.0
8.0,45.0,83.0,47.0,5.0,37.0,10.0,182.0
8.0,46.0,66.0,52.0,11.0,56.0,11.0,196.0
8.0,47.0,105.0,63.0,2.0,47.0,7.0,224.0
8.0,48.0,92.0,46.0,8.0,48.0,21.0,215.0
8.0,49.0,111.0,49.0,11.0,78.0,14.0,263.0
8.0,50.0,130.0,64.0,8.0,82.0,12.0,296.0
8.0,51.0,123.0,73.0,12.0,68.0,7.0,283.0
8.0,52.0,142.0,87.0,15.0,75.0,37.0,356.0
8.0,53.0,64.0,42.0,5.0,30.0,13.0,154.0
8.0,54.0,84.0,36.0,5.0,34.0,7.0,166.0
8.0,55.0,89.0,32.0,5.0,26.0,8.0,160.0
8.0,56.0,131.0,36.0,15.0,66.0,26.0,274.0
9.0,1.0,121.0,59.0,4.0,36.0,21.0,241.0
9.0,2.0,94.0,58.0,5.0,44.0,12.0,213.0
9.0,3.0,51.0,51.0,3.0,25.0,13.0,143.0
9.0,4.0,94.0,37.0,9.0,36.0,9.0,185.0
9.0,5.0,109.0,57.0,7.0,48.0,17.0,238.0
9.0,6.0,96.0,70.0,6.0,52.0,27.0,251.0
9.0,7.0,78.0,41.0,6.0,33.0,10.0,168.0
9.0,8.0,86.0,55.0,9.0,37.0,13.0,200.0
9.0,9.0,137.0,70.0,9.0,58.0,17.0,291.0
9.0,10.0,86.0,62.0,2.0,35.0,16.0,201.0
9.0,11.0,71.0,46.0,8.0,45.0,8.0,178.0
9.0,12.0,110.0,65.0,12.0,61.0,26.0,274.0
9.0,13.0,138.0,77.0,14.0,65.0,13.0,307.0
9.0,14.0,158.0,76.0,16.0,78.0,13.0,341.0
9.0,15.0,57.0,57.0,6.0,23.0,10.0,153.0
9.0,16.0,104.0,54.0,10.0,48.0,14.0,230.0
9.0,17.0,75.0,55.0,2.0,31.0,21.0,184.0
9.0,18.0,60.0,46.0,8.0,35.0,8.0,157.0
9.0,19.0,85.0,57.0,10.0,54.0,11.0,217.0
9.0,20.0,131.0,62.0,6.0,66.0,17.0,282.0
9.0,21.0,110.0,56.0,7.0,34.0,17.0,224.0
9.0,22.0,130.0,49.0,19.0,60.0,16.0,274.0
9.0,23.0,117.0,63.0,13.0,70.0,19.0,282.0
9.0,24.0,127.0,57.0,9.0,68.0,10.0,271.0
9.0,25.0,87.0,61.0,10.0,78.0,12.0,248.0
9.0,26.0,64.0,30.0,7.0,37.0,14.0,152.0
9.0,27.0,101.0,58.0,10.0,31.0,18.0,218.0
9.0,28.0,60.0,26.0,2.0,33.0,1.0,122.0
9.0,29.0,99.0,55.0,3.0,48.0,22.0,227.0
9.0,30.0,68.0,65.0,10.0,47.0,9.0,199.0
9.0,31.0,85.0,61.0,12.0,30.0,10.0,198.0
9.0,32.0,95.0,62.0,9.0,56.0,13.0,235.0
9.0,33.0,88.0,40.0,4.0,25.0,17.0,174.0
9.0,34.0,73.0,69.0,7.0,29.0,9.0,187.0
9.0,35.0,130.0,57.0,16.0,44.0,16.0,263.0
9.0,36.0,102.0,42.0,7.0,41.0,11.0,203.0
9.0,37.0,144.0,24.0,56.0,90.0,10.0,324.0
9.0,38.0,102.0,51.0,8.0,53.0,18.0,232.0
9.0,39.0,108.0,58.0,11.0,58.0,19.0,254.0
9.0,40.0,140.0,62.0,13.0,58.0,17.0,290.0
9.0,41.0,104.0,47.0,12.0,41.0,11.0,215.0
9.0,42.0,118.0,51.0,8.0,108.0,19.0,304.0
9.0,43.0,84.0,51.0,12.0,39.0,14.0,200.0
9.0,44.0,79.0,73.0,6.0,60.0,18.0,236.0
9.0,45.0,87.0,49.0,6.0,33.0,9.0,184.0
9.0,46.0,107.0,55.0,10.0,51.0,16.0,239.0
9.0,47.0,141.0,68.0,16.0,74.0,14.0,313.0
9.0,48.0,106.0,65.0,12.0,64.0,22.0,269.0
9.0,49.0,95.0,53.0,12.0,52.0,20.0,232.0
9.0,50.0,134.0,61.0,22.0,113.0,31.0,361.0
9.0,51.0,105.0,65.0,9.0,64.0,21.0,264.0
10.0,1.0,106.0,41.0,3.0,80.0,7.0,237.0
10.0,2.0,138.0,9.0,57.0,111.0,2.0,317.0
10.0,3.0,140.0,9.0,37.0,109.0,3.0,298.0
10.0,4.0,68.0,17.0,9.0,90.0,5.0,189.0
10.0,5.0,116.0,10.0,34.0,89.0,2.0,251.0
10.0,6.0,96.0,4.0,29.0,109.0,1.0,239.0
10.0,7.0,75.0,7.0,8.0,103.0,3.0,196.0
10.0,8.0,51.0,25.0,1.0,47.0,4.0,128.0
10.0,9.0,138.0,10.0,54.0,128.0,1.0,331.0
10.0,10.0,117.0,3.0,33.0,181.0,1.0,335.0
10.0,11.0,100.0,4.0,23.0,204.0,2.0,333.0
10.0,12.0,81.0,3.0,20.0,89.0,1.0,194.0
10.0,13.0,106.0,14.0,8.0,147.0,4.0,279.0
