Ward,RegVoters
1,29232
2,32438
3,32142
4,30651
5,29321
6,33658
7,32415
8,37496
9,36454
10,25572
11,25470
12,17930
13,23932
14,17822
15,18233
16,26071
17,30599
18,31783
19,35016
20,25662
21,38244
22,18907
23,22399
24,26850
25,25194
26,24709
27,32087
28,32409
29,34515
30,21339
31,21429
32,30469
33,22909
34,38472
35,21846
36,21293
37,31338
38,29593
39,29135
40,27800
41,34339
42,31309
43,30254
44,29803
45,31191
46,28676
47,33218
48,29787
49,25105
50,24914
