Ward,RegVoters
1,29994
2,38070
3,23020
4,28260
5,27368
6,35954
7,30872
8,36095
9,31359
10,26117
11,25387
12,13680
13,21369
14,14117
15,24710
16,21748
17,31006
18,34953
19,32136
20,23274
21,39478
22,15649
23,28437
24,30422
25,22894
26,24149
27,29204
28,28644
29,27470
30,20898
31,20931
32,34981
33,20036
34,37307
35,23845
36,29835
37,28108
38,27918
39,24692
40,24802
41,36785
42,42568
43,33054
44,32060
45,31559
46,30321
47,33268
48,28771
49,22669
50,25793
